23/01/2019 11:49:37,AperturaProgramma
23/01/2019 11:49:40,CambioTariffe,0,0,0,10,10,10
23/01/2019 11:50:06,ChiusuraProgramma
23/01/2019 11:50:53,AperturaProgramma
23/01/2019 11:50:57,CambioTariffe,0,0,0,10,10,10
23/01/2019 11:51:03,ChiusuraProgramma
23/01/2019 11:51:15,AperturaProgramma
23/01/2019 11:51:18,CambioTariffe,0,0,0,10,10,10
23/01/2019 11:52:42,ChiusuraProgramma
27/01/2019 12:04:56,AperturaProgramma
27/01/2019 12:05:07,CambioTariffeFallito,0,10,10
27/01/2019 12:05:09,CambioTariffe,0,0,0,1,10,10
27/01/2019 12:05:18,EntrataAuto,Elettrica,a,1
27/01/2019 12:05:19,RichiestaDescrizione,0
27/01/2019 12:06:10,ChiusuraProgramma
28/01/2019 10:46:40,AperturaProgramma
28/01/2019 10:46:55,CambioTariffe,0,0,0,10,10,10
28/01/2019 10:47:00,EntrataAuto,Elettrica,a,1
28/01/2019 10:47:01,RichiestaDescrizione,0
28/01/2019 10:47:04,ChiusuraProgramma
28/01/2019 10:52:03,AperturaProgramma
28/01/2019 10:52:06,ChiusuraProgramma
28/01/2019 10:52:37,AperturaProgramma
28/01/2019 10:55:09,ChiusuraProgramma
28/01/2019 11:15:22,AperturaProgramma
28/01/2019 11:15:26,CambioTariffe,0,0,0,10,10,10
28/01/2019 11:15:40,ChiusuraProgramma
28/01/2019 11:31:54,AperturaProgramma
28/01/2019 11:31:58,CambioTariffe,0,0,0,10,10,10
28/01/2019 11:32:11,ChiusuraProgramma
28/01/2019 11:37:49,AperturaProgramma
28/01/2019 11:37:53,CambioTariffe,0,0,0,10,10,10
28/01/2019 11:37:59,EntrataFurgone,1,a,1
28/01/2019 11:38:04,EntrataMoto,1,s,1
28/01/2019 11:38:14,UscitaVeicolo,Furgone,a,1,0,230
28/01/2019 11:38:22,UscitaVeicolo,Moto,s,1,0,230
28/01/2019 11:38:25,ChiusuraProgramma
28/01/2019 11:43:17,AperturaProgramma
28/01/2019 11:43:21,CambioTariffe,0,0,0,1,10,10
28/01/2019 11:43:27,EntrataFurgone,1,a,1
28/01/2019 11:43:41,UscitaVeicolo,Furgone,1,240
28/01/2019 11:43:42,ChiusuraProgramma
28/01/2019 11:44:34,AperturaProgramma
28/01/2019 11:44:37,CambioTariffe,0,0,0,10,10,10
28/01/2019 11:44:46,EntrataFurgone,1,a,1
28/01/2019 11:44:48,RichiestaDescrizione,10
28/01/2019 11:44:54,UscitaVeicolo,Furgone,1,240
28/01/2019 11:44:56,ChiusuraProgramma
28/01/2019 11:45:07,AperturaProgramma
28/01/2019 11:45:14,CambioTariffe,0,0,0,10,10,10
28/01/2019 11:45:18,EntrataAuto,Elettrica,a,1
28/01/2019 11:45:23,UscitaVeicolo,AutoElettrica,0,230
28/01/2019 11:45:24,ChiusuraProgramma
